name,text,class,rarity,type,cost,health,attack,durability,image
A New Challenger...,Discover  a 6-Cost minion. Summon it with  Taunt  and  Divine Shield.,Paladin,Epic,Spell,7,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/a-new-challenger-card-art-200x286.png
Abomination,Taunt. Deathrattle: Deal 2 damage to ALL characters.,Neutral,Rare,Minion,5,4,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/abomination-200x286.png
Abusive Sergeant,Battlecry:  Give a minion +2 Attack this turn.,Neutral,Common,Minion,1,1,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/abusive-sergeant2-200x286.png
Academic Espionage,Shuffle 10 cards from your opponent's class into your deck. They cost (1).,Rogue,Epic,Spell,4,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/academic-espionage-200x286.png
Acidic Swamp Ooze,Battlecry: Destroy your opponent's weapon.,Neutral,Free,Minion,2,3,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/acidic-swamp-ooze-200x286.png
Acolyte of Pain,"Whenever this minion takes damage, draw a card.",Neutral,Common,Minion,3,1,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/acolyte-of-pain-200x286.png
"Akali, the Rhino","Rush, Overkill:  Draw a  Rush  minion and give +5/+5.",Warrior,Legendary,Minion,8,5,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/akali-the-rhino-card-art-200x286.png
Al'Akir the Windlord,"Windfury, Charge, Divine Shield, Taunt",Shaman,Legendary,Minion,8,3,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2017/04/alakir-the-windlord-new-200x286.png
Alarm-o-Bot,"At the start of your turn, swap this minion with a random one in your hand.",Neutral,Rare,Minion,3,0,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/alarm-o-bot-200x286.png
Aldor Peacekeeper,Battlecry: Change an enemy minion's Attack to 1.,Paladin,Rare,Minion,3,3,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/aldor-peacekeeper-200x286.png
Alexstrasza,Battlecry: Set a hero's remaining Health to 15.,Neutral,Legendary,Minion,9,8,8,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/alexstrasza-200x286.png
Amani Berserker,Enrage: +3 Attack,Neutral,Common,Minion,2,2,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/amani-berserker-200x286.png
Amani War Bear,"Rush 

 Taunt",Neutral,Common,Minion,7,5,7,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/amani-war-bear-card-art-200x286.png
Ancestral Healing,Restore a minion to full Health and give it Taunt.,Shaman,Free,Spell,0,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/ancestral-healing1-200x286.png
Ancestral Spirit,"Choose a minion. When that minion is destroyed, return it to the battlefield.",Shaman,Rare,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/ancestral-spirit1-200x286.png
Ancient Brewmaster,Battlecry: Return a friendly minion from the battlefield to your hand.,Neutral,Common,Minion,4,5,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/ancient-brewmaster1-200x286.png
Ancient Mage,Battlecry: Give adjacent minions Spell Damage +1.,Neutral,Rare,Minion,4,2,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/ancient-mage1-200x286.png
Ancient of Lore,Choose One  - Draw a card; or Restore 5 Health.,Druid,Epic,Minion,7,5,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/ancient-of-lore-nerf-200x286.png
Ancient of War,Choose One  - +5 Attack; or +5 Health and  Taunt.,Druid,Epic,Minion,7,5,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/ancient-of-war1-200x286.png
Ancient Watcher,Can't Attack.,Neutral,Rare,Minion,2,4,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/ancient-watcher1-200x286.png
Angry Chicken,Enrage: +5 Attack.,Neutral,Rare,Minion,1,1,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/angry-chicken1-200x286.png
Animal Companion,Summon a random Beast Companion.,Hunter,Free,Spell,3,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/animal-companion1-200x286.png
Annoy-o-Module,"Magnetic 

 Divine Shield 

 Taunt",Paladin,Rare,Minion,4,2,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/annoy-o-module-200x286.png
Aranasi Broodmother,"Taunt 

When you draw this card, restore 4 Health to your hero.",Warlock,Common,Minion,6,4,6,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/04/Aranasi-Broodmother-200x276.png
Arathi Weaponsmith,Battlecry: Equip a 2/2 weapon.,Warrior,Common,Minion,4,3,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/arathi-weaponsmith1-200x286.png
Arcane Dynamo,Battlecry:   Discover  a spell that costs (5) or more.,Neutral,Rare,Minion,6,3,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/Arcane-Dynamo-200x282.png
Arcane Explosion,Deal 1 damage to all enemy minions.,Mage,Free,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/arcane-explosion1-200x286.png
Arcane Fletcher,"Whenever you play a 1-Cost minion, draw a spell from your deck.",Hunter,Epic,Minion,4,3,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/04/Arcane-Fletcher-200x280.png
Arcane Golem,Battlecry:  Give your opponent a Mana Crystal.,Neutral,Rare,Minion,3,4,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/arcane-golem-nerf-200x286.png
Arcane Intellect,Draw 2 cards.,Mage,Free,Spell,3,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/arcane-intellect-200x286.png
Arcane Keysmith,Battlecry: Discover  a Secret and put it into the battlefield.,Mage,Epic,Minion,4,2,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/arcane-keysmith-hd-200x286.png
Arcane Missiles,Deal 3 damage randomly split among enemy characters.,Mage,Free,Spell,1,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/arcane-missiles-200x286.png
Arcane Servant,,Neutral,Common,Minion,2,2,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/04/Arcane-Servant-200x280.png
Arcane Shot,Deal 2 damage.,Hunter,Free,Spell,1,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/arcane-shot-200x286.png
Arcane Watcher,Can't attack unless you have  Spell Damage.,Neutral,Rare,Minion,3,5,6,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/04/Arcane-Watcher-200x280.png
Arcanite Reaper,,Warrior,Free,Weapon,5,5,,2,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/arcanite-reaper-200x286.png
Arcanosaur,"Battlecry:  If you played an Elemental last turn, deal 3 damage to all other minions.",Mage,Common,Minion,6,3,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/arcanosaur-card-art-200x286.png
Arch-Villain Rafaam,"Taunt 

 Battlecry:  Replace your hand and deck with  Legendary  minions.",Warlock,Legendary,Minion,7,7,8,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/Arch-Villain-Rafaam-200x287.png
Archivist Elysiana,Battlecry:  Discover  5 cards. Replace your deck with 2 copies of each.,Neutral,Legendary,Minion,8,7,7,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/04/Archivist-Elysiana-1-200x276.png
Archmage,Spell Damage +1,Neutral,Free,Minion,6,4,7,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/archmage-200x286.png
Archmage Antonidas,"Whenever you cast a spell, put a 'Fireball' spell into your hand.",Mage,Legendary,Minion,7,5,7,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/archmage-antonidas-200x286.png
Archmage Arugal,"Whenever you draw a minion, add a copy of it to your hand.",Mage,Legendary,Minion,2,2,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/04/archmage-arugal-hd-200x286.png
Archmage Vargoth,"At the end of your turn, cast a spell you've cast this turn  (targets are random).",Neutral,Legendary,Minion,4,2,6,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/Archmage-Vargoth-200x276.png
Arena Fanatic,Battlecry:  Give all minions in your hand +1/+1.,Neutral,Common,Minion,4,2,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/arena-fanatic-card-art-200x286.png
Arena Patron,Overkill:  Summon another Arena Patron.,Neutral,Rare,Minion,5,3,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/arena-patron-card-art-200x286.png
Arena Treasure Chest,Deathrattle:  Draw 2 cards.,Neutral,Common,Minion,4,0,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/arena-treasure-chest-card-art-200x286.png
Argent Commander,"Charge, Divine Shield",Neutral,Rare,Minion,6,4,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/argent-commander-200x286.png
Argent Protector,Battlecry: Give a friendly minion Divine Shield.,Paladin,Common,Minion,2,2,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/argent-protector-200x286.png
Goblin Bomb,Deathrattle:  Deal 2 damage to the enemy hero.,Neutral,Common,Minion,1,0,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/07/goblin-bomb-200x286.png
Goblin Prank,Give a friendly minion +3/+3 and  Rush . It dies at end of turn.,Hunter,Epic,Spell,2,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/08/goblin-prank-200x286.png
Goldshire Footman,Taunt,Neutral,Free,Minion,1,1,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/goldshire-footman-200x286.png
"Gonk, the Raptor","After your hero attacks and kills a minion, it may attack again.",Druid,Legendary,Minion,7,4,9,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/gonk-the-raptor-card-art-200x286.png
Gorehowl,Attacking a minion costs 1 Attack instead of 1 Durability.,Warrior,Epic,Weapon,7,7,,1,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/gorehowl-200x286.png
"Gral, the Shark","Battlecry:  Eat a minion in your deck and gain its stats.

 Deathrattle:  Add it to your hand.",Rogue,Legendary,Minion,5,2,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/gral-the-shark-card-art-200x286.png
Grave Horror,"Taunt 

Costs (1) less for each spell you've cast this game.",Priest,Rare,Minion,12,7,8,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/grave-horror-card-art-200x286.png
Griftah,Battlecry:  Discover  two cards. Give one to your opponent at random.,Neutral,Legendary,Minion,4,4,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/griftah-card-art-200x286.png
Grim Rally,Destroy a friendly minion. Give your minions +1/+1.,Warlock,Rare,Spell,1,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/grim-rally-card-art-200x286.png
Grimscale Oracle,Your other Murlocs have +1 Attack.,Neutral,Free,Minion,1,1,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/grimscale-oracle2-200x286.png
Grommash Hellscream,Charge. Enrage: +6 Attack,Warrior,Legendary,Minion,8,4,9,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/grommash-hellscream-200x286.png
Gruul,"At the end of each turn, gain +1/+1 .",Neutral,Legendary,Minion,8,7,7,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/gruul-200x286.png
Guardian of Kings,Battlecry: Restore 6 Health to your hero.,Paladin,Free,Minion,7,5,6,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/guardian-of-kings-200x286.png
Gurubashi Berserker,"Whenever this minion takes damage, gain +3 Attack.",Neutral,Free,Minion,5,2,7,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/gurubashi-berserker-200x286.png
Gurubashi Chicken,Overkill:  Gain +5 Attack.,Neutral,Common,Minion,1,1,1,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/gurubashi-chicken-card-art-200x286.png
Gurubashi Hypemon,Battlecry:   Discover  a 1/1 copy of a  Battlecry  minion. It costs (1).,Rogue,Epic,Minion,7,5,7,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/gurubashi-hypemon-card-art-200x286.png
Gurubashi Offering,"At the start of your turn, destroy this and gain 8 Armor.",Neutral,Epic,Minion,1,0,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/gurubashi-offering-card-art-200x286.png
Hagatha the Witch,Battlecry:  Deal 3 damage to all minions.,Shaman,Legendary,Hero,8,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/03/hagatha-the-witch-hd-200x286.png
Hagatha's Scheme,"Deal 1 damage to all minions.

 (Upgrades each turn!)",Shaman,Rare,Spell,5,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2019/03/Hagathas-Scheme-200x283.png
"Hakkar, the Soulflayer",Deathrattle:  Shuffle a Corrupted Blood into each player's deck.,Neutral,Legendary,Minion,10,9,6,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/hakkar-the-soulflayer-card-art-200x286.png
"Halazzi, the Lynx",Battlecry:  Fill your hand with 1/1 Lynxes that have  Rush.,Hunter,Legendary,Minion,5,3,2,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/halazzi-the-lynx-card-art-200x286.png
Half-Time Scavenger,"Stealth 

 Overkill:  Gain 3 Armor.",Neutral,Common,Minion,4,3,5,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/half-time-scavenger-card-art-200x286.png
Hammer of Wrath,Deal 3 damage. Draw a card.,Paladin,Free,Spell,4,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/hammer-of-wrath-200x286.png
Hand of Protection,Give a minion Divine Shield.,Paladin,Free,Spell,1,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/hand-of-protection-200x286.png
Harbinger Celestia,"Stealth 

After your opponent plays a minion, become a copy of it.",Neutral,Legendary,Minion,4,5,6,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/08/harbinger-celestia-200x286.png
Harrison Jones,Battlecry: Destroy your opponent's weapon and draw cards equal to its Durability.,Neutral,Legendary,Minion,5,5,4,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/harrison-jones-200x286.png
Harvest Golem,Deathrattle: Summon a 2/1 Damaged Golem.,Neutral,Common,Minion,3,2,3,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/harvest-golem-200x286.png
Haunting Visions,Next spell you cast this turn costs (3) less.  Discover  a spell.,Shaman,Epic,Spell,3,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/haunting-visions-card-art-1-200x286.png
Headcrack,Deal 2 damage to the enemy hero. Combo: Return this to your hand next turn.,Rogue,Rare,Spell,3,,,,https://www.hearthstonetopdecks.com/wp-content/uploads/2014/03/headcrack-200x286.png
Headhunter's Hatchet,"Battlecry:  If you control a Beast, gain +1 Durability.",Hunter,Common,Weapon,2,2,,2,https://www.hearthstonetopdecks.com/wp-content/uploads/2018/11/headhunters-hatchet-card-art-200x286.png
